module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
core,anytime,Brainstorming,BSP,,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,,"Générer des idées diverses via des techniques interactives. Utiliser au début de la phase d'idéation ou en cas de blocage pour générer des idées.",{output_folder}/brainstorming/brainstorming-session-{{date}}.md,,
core,anytime,Party Mode,PM,,skill:bmad-party-mode,bmad-party-mode,false,party-mode facilitator,,"Orchestrer des discussions multi-agents. Utiliser lorsque vous avez besoin des perspectives de plusieurs agents ou que vous souhaitez que les agents collaborent.",,
core,anytime,Aide BMad,BH,,skill:bmad-help,bmad-help,false,,,"Débloquez-vous en affichant les prochaines étapes du workflow ou en répondant aux questions sur la méthode BMad.",,
core,anytime,Indexer les documents,ID,,skill:bmad-index-docs,bmad-index-docs,false,,,"Créer un index léger pour une analyse rapide par le LLM. Utiliser lorsque le LLM a besoin de comprendre les documents disponibles sans tout charger.",,
core,anytime,Fractionner le document,SD,,skill:bmad-shard-doc,bmad-shard-doc,false,,,"Diviser les grands documents en fichiers plus petits par sections. Utiliser lorsque le document devient trop volumineux (>500 lignes) pour être géré efficacement.",,
core,anytime,Revue Éditoriale - Prose,EP,,skill:bmad-editorial-review-prose,bmad-editorial-review-prose,false,,,"Reviewer la prose pour la clarté, le ton et les problèmes de communication. Utiliser après la rédaction pour peaufiner le contenu écrit.",rapport situé avec le document cible,"tableau markdown à trois colonnes avec les corrections suggérées",
core,anytime,Revue Éditoriale - Structure,ES,,skill:bmad-editorial-review-structure,bmad-editorial-review-structure,false,,,"Proposer des coupes, une réorganisation et une simplification tout en préservant la compréhension. Utiliser lorsque le document est produit à partir de plusieurs sous-processus ou nécessite une amélioration structurelle.",rapport situé avec le document cible,
core,anytime,Revue Contradictoire (Général),AR,,skill:bmad-review-adversarial-general,bmad-review-adversarial-general,false,,,"Reviewer le contenu de manière critique pour trouver les problèmes et faiblesses. Utiliser pour l'assurance qualité ou avant de finaliser les livrables. La Revue de code dans d'autres modules l'exécute automatiquement, mais c'est aussi utile pour les revues de documents.",,
core,anytime,Revue Chasseur de Cas Limites,ECH,,skill:bmad-review-edge-case-hunter,bmad-review-edge-case-hunter,false,,,"Parcourir chaque chemin de branchement et condition aux limites dans le code, signaler uniquement les cas limites non gérés. Utiliser avec la revue contradictoire pour une couverture orthogonale - piloté par la méthode, pas par l'attitude.",,
core,anytime,Distillateur,DG,,skill:bmad-distillator,bmad-distillator,false,,,"Compression sans perte optimisée pour LLM des documents sources. Utiliser lorsque vous avez besoin de distillats économes en tokens qui préservent toutes les informations pour la consommation LLM en aval.",adjacent au document source ou output_path spécifié,fichier(s) markdown distillat
