project_type,detection_signals,key_questions,required_sections,skip_sections,web_search_triggers,innovation_signals
api_backend,"API,REST,GraphQL,backend,service,endpoints","Endpoints nécessaires ?;Méthode d'authentification ?;Formats de données ?;Limites de débit (Rate limits) ?;Versionnement ?;SDK nécessaire ?","endpoint_specs;auth_model;data_schemas;error_codes;rate_limits;api_docs","ux_ui;visual_design;user_journeys","meilleures pratiques framework;normes OpenAPI","Composition d'API;Nouveau protocole"
mobile_app,"iOS,Android,application,mobile,iPhone,iPad","Natif ou multiplateforme ?;Mode hors ligne nécessaire ?;Notifications push ?;Fonctionnalités de l'appareil ?;Conformité aux stores ?","platform_reqs;device_permissions;offline_mode;push_strategy;store_compliance","desktop_features;cli_commands","directives app store;exigences de plateforme","Innovation gestuelle;Fonctionnalités AR/VR"
saas_b2b,"SaaS,B2B,plateforme,tableau de bord,équipes,entreprise","Multi-tenant ?;Modèle de permissions ?;Niveaux d'abonnement ?;Intégrations ?;Conformité ?","tenant_model;rbac_matrix;subscription_tiers;integration_list;compliance_reqs","cli_interface;mobile_first","exigences de conformité;guides d'intégration","Automatisation des workflows;Agents IA"
developer_tool,"SDK,bibliothèque,paquet,npm,pip,framework","Langages pris en charge ?;Gestionnaires de paquets ?;Intégration d'IDE ?;Documentation ?;Exemples ?","language_matrix;installation_methods;api_surface;code_examples;migration_guide","visual_design;store_compliance","meilleures pratiques gestionnaire de paquets;modèles de conception API","Nouveau paradigme;Création DSL"
cli_tool,"CLI,commande,terminal,bash,script","Interactif ou scriptable ?;Formats de sortie ?;Méthode de configuration ?;Complétion shell ?","command_structure;output_formats;config_schema;scripting_support","visual_design;ux_principles;touch_interactions","modèles de conception CLI;intégration shell","Interface CLI en langage naturel;Commandes IA"
web_app,"site web,webapp,navigateur,SPA,PWA","SPA ou MPA ?;Support navigateur ?;SEO nécessaire ?;Temps réel ?;Accessibilité ?","browser_matrix;responsive_design;performance_targets;seo_strategy;accessibility_level","native_features;cli_commands","normes web;directives WCAG","Nouvelle interaction;Utilisation WebAssembly"
game,"jeu,joueur,gameplay,niveau,personnage","REDIRECTION POUR UTILISER LES WORKFLOWS ET L'AGENT DE JEU BMAD METHOD - HALT","game-brief;GDD","most_sections","modèles de conception de jeu","Nouvelles mécaniques;Mélange de genres"
desktop_app,"bureau,Windows,Mac,Linux,natif","Multiplateforme ?;Mise à jour automatique ?;Intégration système ?;Hors ligne ?","platform_support;system_integration;update_strategy;offline_capabilities","web_seo;mobile_features","directives bureau;exigences de plateforme","IA de bureau;Automatisation système"
iot_embedded,"IoT,embarqué,appareil,capteur,matériel","Spécifications matérielles ?;Connectivité ?;Contraintes d'énergie ?;Sécurité ?;Mises à jour OTA ?","hardware_reqs;connectivity_protocol;power_profile;security_model;update_mechanism","visual_ui;browser_support","normes IoT;spécifications protocole","Edge AI;Nouveaux capteurs"
blockchain_web3,"blockchain,crypto,DeFi,NFT,smart contract","Choix de la blockchain ?;Intégration portefeuille (wallet) ?;Optimisation du gaz ?;Audit de sécurité ?","chain_specs;wallet_support;smart_contracts;security_audit;gas_optimization","traditional_auth;centralized_db","normes blockchain;modèles de sécurité","Modèles économiques de tokens innovants (Tokenomics);Structure DAO"
