domain,signals,complexity,key_concerns,required_knowledge,suggested_workflow,web_searches,special_sections
healthcare,"medical,diagnostic,clinical,FDA,patient,treatment,HIPAA,therapy,pharma,drug",high,Approbation de la FDA;Validation clinique;Conformité HIPAA;Sécurité du patient;Classification des dispositifs médicaux;Responsabilité,Parcours réglementaires;Conception d'essais cliniques;Normes médicales;Confidentialité des données;Exigences d'intégration,domain-research,directives logicielles dispositifs médicaux FDA {date};exigences logicielles conformité HIPAA;normes logicielles médicales {date};logiciel de validation clinique,clinical_requirements;regulatory_pathway;validation_methodology;safety_measures
fintech,"payment,banking,trading,investment,crypto,wallet,transaction,KYC,AML,funds,fintech",high,Conformité régionale;Normes de sécurité;Exigences d'audit;Prévention des fraudes;Protection des données,Exigences KYC/AML;PCI DSS;Open banking;Lois régionales (US/EU/APAC);Réglementations crypto,domain-research,réglementations fintech {date};conformité traitement paiements {date};normes API open banking;réglementations cryptomonnaie {date},compliance_matrix;security_architecture;audit_requirements;fraud_prevention
govtech,"government,federal,civic,public sector,citizen,municipal,voting",high,Règles des marchés publics;Habilitation de sécurité;Accessibilité (508);FedRAMP;Confidentialité;Transparence,Marchés publics gouvernementaux;Cadres de sécurité;Normes d'accessibilité;Lois sur la confidentialité;Exigences open data,domain-research,marchés publics logiciels gouvernementaux {date};exigences conformité FedRAMP;accessibilité section 508;normes de sécurité gouvernementales,security_clearance;accessibility_standards;procurement_rules;data_privacy
edtech,"education,student,learning,school,university,course,teacher,LMS",medium,Confidentialité étudiant (COPPA/FERPA);Accessibilité;Modération de contenu;Vérification d'âge;Normes des programmes scolaires,Lois sur la confidentialité éducative;Normes d'apprentissage;Exigences d'accessibilité;Lignes directrices de contenu;Validité de l'évaluation,domain-research,confidentialité logiciels éducatifs {date};conformité COPPA FERPA;exigences éducation WCAG;normes gestion de l'apprentissage,student_privacy;accessibility_standards;content_moderation
aerospace,"aviation,flight,aircraft,drone,space,satellite,UAV",high,Certification de sécurité;Conformité DO-178C;Validation des performances;Précision des simulations;Contrôles à l'exportation,Normes aéronautiques;Analyse de la sécurité;Validation de simulation;Contrôles ITAR/export;Exigences de performance,domain-research,certification logicielle DO-178C;normes simulation aérospatiale {date};logiciels contrôles d'exportation ITAR;exigences de sécurité aérienne,safety_critical;export_controls;performance_validation
automotive,"car,vehicle,driving,autonomous,fleet,EV,charging",high,Normes de sécurité;ISO 26262;Communication V2X;Exigences temps réel;Certification,Normes automobiles;Sécurité fonctionnelle;Protocoles V2X;Systèmes temps réel;Exigences de test,domain-research,logiciel automobile ISO 26262;normes de sécurité automobile {date};protocoles communication V2X;normes de recharge véhicules électriques,functional_safety;real_time_requirements;certification_pathway
scientific,"research,laboratory,simulation,modeling,analysis,computational",medium,Reproductibilité;Méthodologie de validation;Examen par les pairs (Peer review);Performances;Précision;Ressources de calcul,Méthode scientifique;Validité statistique;Exigences de calcul;Expertise du domaine;Normes de publication,domain-research,bonnes pratiques en calcul scientifique {date};normes de reproductibilité de recherche;validation de modélisation informatique;logiciels pour l'examen par les pairs,reproducibility;computational_requirements;validation_methodology
legaltech,"law,legal,court,contract,attorney,compliance,litigation",medium,Éthique juridique;Réglementations du barreau;Conservation des données;Secret professionnel avocat-client;Intégration avec le système judiciaire,Règles de pratique juridique;Exigences éthiques;Systèmes de dépôt au tribunal;Normes de documents;Confidentialité,domain-research,éthique dans les technologies juridiques {date};exigences logiciels gestion de cabinet d'avocats;normes systèmes de dépôt tribunal;technologie sur le secret professionnel avocat-client,data_retention;ethical_compliance;privilege_protection
insuretech,"insurance,claim,policy,underwriting,risk,actuarial",medium,Règlementations de l'assurance;Normes actuarielles;Confidentialité des données;Détection des fraudes;Conformité par État,Réglementation de l'assurance par état;Méthodes actuarielles;Modélisation des risques;Traitement des sinistres;Déclaration réglementaire,domain-research,réglementations logiciels d'assurance {date};logiciels normes actuarielles;détection fraudes à l'assurance;conformité d'assurance d'état,state_compliance;fraud_detection;actuarial_standards
energy,"grid,power,solar,wind,utility,smart grid,energy",high,Conformité du réseau;Normes NERC;Réglementations environnementales;Exigences de sécurité;Opérations en temps réel,Réglementation de l'énergie;Normes du réseau;Conformité environnementale;Protocoles de sécurité;Systèmes SCADA,domain-research,conformité logiciels secteur de l'énergie {date};normes NERC CIP;exigences réseaux intelligents (smart grids);normes logiciels d'énergies renouvelables,grid_compliance;environmental_regulations;safety_protocols
