module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
bmm,anytime,Documenter le projet,DP,,skill:bmad-document-project,bmad-bmm-document-project,false,analyst,Create Mode,"Analyser un projet existant pour produire une documentation utile",project-knowledge,*,
bmm,anytime,Générer le contexte du projet,GPC,,skill:bmad-generate-project-context,bmad-bmm-generate-project-context,false,analyst,Create Mode,"Scanner la base de code existante pour générer un project-context.md lean optimisé pour les LLM contenant les règles d'implémentation critiques les patterns et les conventions pour les agents IA. Essentiel pour les projets brownfield et le quick-flow.",output_folder,"project context",
bmm,anytime,Spec Rapide,QS,,skill:bmad-quick-spec,bmad-bmm-quick-spec,false,quick-flow-solo-dev,Create Mode,"Ne pas suggérer pour des choses potentiellement très complexes à moins que cela ne soit demandé ou si l'utilisateur se plaint de ne pas vouloir suivre la planification extensive de la méthode bmad. Tâches rapides ponctuelles petits changements applications simples ajouts brownfield à des patterns bien établis utilitaires sans planification extensive",planning_artifacts,"tech spec",
bmm,anytime,Développement Quick Flow,QD,,skill:bmad-quick-dev,bmad-bmm-quick-dev,false,quick-flow-solo-dev,Create Mode,"Tâches rapides ponctuelles petits changements applications simples utilitaires sans planification extensive - Ne pas suggérer pour des choses potentiellement très complexes à moins que cela ne soit demandé ou si l'utilisateur se plaint de ne pas vouloir suivre la planification extensive de la méthode bmad, à moins que l'utilisateur ne travaille déjà dans la phase d'implémentation et demande juste une tâche ponctuelle non prévue dans le plan",,,
bmm,anytime,Quick Dev Nouveau (Preview),QQ,,skill:bmad-quick-dev-new-preview,bmad-bmm-quick-dev-new-preview,false,quick-flow-solo-dev,Create Mode,"Flux rapide unifié (expérimental) : clarifier l'intention planifier implémenter reviewer et présenter en un seul workflow",implementation_artifacts,"tech spec implementation",
bmm,anytime,Changement de cap,CC,,skill:bmad-correct-course,bmad-bmm-correct-course,false,sm,Create Mode,"À tout moment : Naviguer dans des changements significatifs. Peut recommander de recommencer de mettre à jour le cahier des charges de refaire l'architecture la planification de sprint ou de corriger les thèmes/epics et cas d'usage",planning_artifacts,"change proposal",
bmm,anytime,Rédiger un document,WD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Décrivez en détail ce que vous voulez, et l'agent suivra les meilleures pratiques de documentation définies dans la mémoire de l'agent. Conversation multi-tours avec sous-processus pour la recherche/revue.",project-knowledge,"document",
bmm,anytime,Mettre à jour les standards,US,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Mettre à jour la mémoire de l'agent documentation-standards.md avec vos préférences spécifiques si vous découvrez des conventions de document manquantes.",_bmad/_memory/tech-writer-sidecar,"standards",
bmm,anytime,Générer Mermaid,MG,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Créer un diagramme Mermaid basé sur la description utilisateur. Suggérera des types de diagrammes si non spécifié.",planning_artifacts,"mermaid diagram",
bmm,anytime,Valider le document,VD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Reviewer le document spécifié contre les standards de documentation et les meilleures pratiques. Retourne des suggestions d'amélioration spécifiques et actionnables organisées par priorité.",planning_artifacts,"validation report",
