module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Core,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
Core,bmad-brainstorming,Brainstorming,BSP,À utiliser tôt dans l'idéation ou lorsque vous êtes bloqué pour générer des idées.,,,anytime,,,false,{output_folder}/brainstorming,session de brainstorming
Core,bmad-party-mode,Party Mode,PM,Orchestrer des discussions multi-agents lorsque vous avez besoin de plusieurs perspectives ou que vous souhaitez que les agents collaborent.,,,anytime,,,false,,
Core,bmad-help,BMad Help,BH,,,,anytime,,,false,,
Core,bmad-index-docs,Index Docs,ID,À utiliser lorsque le LLM doit comprendre la documentation disponible sans tout charger.,,,anytime,,,false,,
Core,bmad-shard-doc,Shard Document,SD,À utiliser lorsqu'un document devient trop volumineux (>500 lignes) pour être géré efficacement.,,[path],anytime,,,false,,
Core,bmad-editorial-review-prose,Editorial Review - Prose,EP,À utiliser après rédaction pour peaufiner le contenu écrit.,,[path],anytime,,,false,rapport situé avec le document cible,tableau markdown à trois colonnes avec corrections suggérées
Core,bmad-editorial-review-structure,Editorial Review - Structure,ES,À utiliser lorsqu'un document est produit à partir de plusieurs sous-processus ou nécessite une amélioration structurelle.,,[path],anytime,,,false,rapport situé avec le document cible,
Core,bmad-review-adversarial-general,Adversarial Review,AR,"À utiliser pour l'assurance qualité ou avant de finaliser les livrables. La revue de code dans d'autres modules l'exécute automatiquement, mais elle est aussi utile pour les revues de documents.",,[path],anytime,,,false,,
Core,bmad-review-edge-case-hunter,Edge Case Hunter Review,ECH,À utiliser parallèlement à la revue adversarial pour une couverture orthogonale — pilotée par la méthode et non par l'attitude.,,[path],anytime,,,false,,
Core,bmad-distillator,Distillator,DG,À utiliser lorsque vous avez besoin de distillats efficaces en tokens qui préservent toute l'information pour la consommation LLM en aval.,,[path],anytime,,,false,à côté du document source ou de output_path spécifié,fichier(s) distillat markdown
Core,bmad-customize,BMad Customize,BC,"À utiliser lorsque vous voulez changer le comportement d'un agent ou d'un workflow — ajouter des faits persistants, remplacer des templates, insérer des hooks d'activation ou personnaliser les menus. Scanne ce qui est personnalisable, choisit la portée appropriée (agent vs workflow), écrit la surcharge dans _bmad/custom/, et vérifie la fusion. Aucune édition TOML manuelle requise.",,,anytime,,,false,{project-root}/_bmad/custom,fichiers de surcharge TOML
