project_type,detection_signals,key_questions,required_sections,skip_sections,web_search_triggers,innovation_signals
api_backend,"API,REST,GraphQL,backend,service,points de terminaison","Points de terminaison nécessaires ?;Méthode d'authentification ?;Formats de données ?;Limites de débit ?;Gestion des versions ?;SDK nécessaire ?","endpoint_specs;auth_model;data_schemas;error_codes;rate_limits;api_docs","ux_ui;visual_design;user_journeys","bonnes pratiques framework;normes OpenAPI","Composition d'API;Nouveau protocole"
mobile_app,"iOS,Android,app,mobile,iPhone,iPad","Natif ou multiplateforme ?;Mode hors ligne nécessaire ?;Notifications push ?;Fonctionnalités matérielles (device features) ?;Conformité aux stores ?","platform_reqs;device_permissions;offline_mode;push_strategy;store_compliance","desktop_features;cli_commands","directives app store;exigences plateforme","Innovation gestuelle;Fonctionnalités AR/VR"
saas_b2b,"SaaS,B2B,plateforme,tableau de bord,équipes,entreprise","Multi-tenant ?;Modèle de permissions ?;Niveaux d'abonnement ?;Intégrations ?;Conformité ?","tenant_model;rbac_matrix;subscription_tiers;integration_list;compliance_reqs","cli_interface;mobile_first","exigences de conformité;guides d'intégration","Automatisation de workflow;Agents IA"
developer_tool,"SDK,bibliothèque,package,npm,pip,framework","Support de langages ?;Gestionnaires de paquets ?;Intégration IDE ?;Documentation ?;Exemples ?","language_matrix;installation_methods;api_surface;code_examples;migration_guide","visual_design;store_compliance","bonnes pratiques gestionnaire de paquets;modèles de conception d'API","Nouveau paradigme;Création de DSL"
cli_tool,"CLI,commande,terminal,bash,script","Interactif ou scriptable ?;Formats de sortie ?;Méthode de configuration ?;Auto-complétion du shell ?","command_structure;output_formats;config_schema;scripting_support","visual_design;ux_principles;touch_interactions","modèles de conception CLI;intégration shell","CLI en langage naturel;Commandes IA"
web_app,"site web,webapp,navigateur,SPA,PWA","SPA ou MPA ?;Support navigateurs ?;SEO nécessaire ?;Temps réel ?;Accessibilité ?","browser_matrix;responsive_design;performance_targets;seo_strategy;accessibility_level","native_features;cli_commands","standards web;directives WCAG","Nouvelle interaction;Utilisation de WebAssembly"
game,"jeu,joueur,gameplay,niveau,personnage","REDIRECTION POUR UTILISER LE MODULE AGENT ET WORKFLOWS JEU BMAD - ARRÊT","game-brief;GDD","most_sections","modèles de conception de jeux","Mécaniques novatrices;Mélange de genres"
desktop_app,"bureau,Windows,Mac,Linux,natif","Multiplateforme ?;Mise à jour automatique ?;Intégration système ?;Hors ligne ?","platform_support;system_integration;update_strategy;offline_capabilities","web_seo;mobile_features","directives bureau;exigences plateforme","IA de bureau;Automatisation système"
iot_embedded,"IoT,embarqué,appareil,capteur,matériel","Spécifications matérielles ?;Connectivité ?;Contraintes de puissance ?;Sécurité ?;Mises à jour OTA ?","hardware_reqs;connectivity_protocol;power_profile;security_model;update_mechanism","visual_ui;browser_support","normes IoT;spécifications de protocoles","IA à la périphérie (Edge AI);Nouveaux capteurs"
blockchain_web3,"blockchain,crypto,DeFi,NFT,contrat intelligent","Sélection de la chaîne ?;Intégration de portefeuille ?;Optimisation du gaz ?;Audit de sécurité ?","chain_specs;wallet_support;smart_contracts;security_audit;gas_optimization","traditional_auth;centralized_db","standards blockchain;modèles de sécurité","Tokenomics novatrice;Structure DAO"
