project_type,detection_signals,key_questions,required_sections,skip_sections,web_search_triggers,innovation_signals
api_backend,"API,REST,GraphQL,backend,service,endpoints",Points d'accès (Endpoints) nécessaires ?;Méthode d'authentification ?;Formats de données ?;Limites de débit (Rate limits) ?;Versionnage ?;SDK nécessaire ?,endpoint_specs;auth_model;data_schemas;error_codes;rate_limits;api_docs,ux_ui;visual_design;user_journeys,bonnes pratiques en framework;normes OpenAPI,Composition d'API;Nouveau protocole
mobile_app,"iOS,Android,app,mobile,iPhone,iPad",Natif ou multiplateforme ?;Mode hors ligne (offline) ?;Notifications push ?;Fonctionnalités matérielles (device) ?;Conformité aux App Stores ?,platform_reqs;device_permissions;offline_mode;push_strategy;store_compliance,desktop_features;cli_commands,lignes directrices des app stores;exigences de plateforme,Innovation gestuelle;Fonctionnalités AR/VR
saas_b2b,"SaaS,B2B,platform,dashboard,teams,enterprise",Multi-tenant (multi-locataire) ?;Modèle de permissions ?;Niveaux d'abonnement ?;Intégrations ?;Conformité ?,tenant_model;rbac_matrix;subscription_tiers;integration_list;compliance_reqs,cli_interface;mobile_first,exigences de conformité;guides d'intégration,Automatisation des processus (workflows);Agents IA
developer_tool,"SDK,library,package,npm,pip,framework",Langages supportés ?;Gestionnaires de paquets (package managers) ?;Intégration d'un IDE ?;Documentation ?;Exemples de code ?,language_matrix;installation_methods;api_surface;code_examples;migration_guide,visual_design;store_compliance,bonnes pratiques des gestionnaires de paquets;modèles de conception d'API,Nouveau paradigme;Création de DSL
cli_tool,"CLI,command,terminal,bash,script",Interactif ou scriptable ?;Formats de sortie ?;Méthode de configuration ?;Complétion automatique (Shell completion) ?,command_structure;output_formats;config_schema;scripting_support,visual_design;ux_principles;touch_interactions,modèles de conception CLI;intégration de terminal (shell),CLI en langage naturel;Commandes IA
web_app,"website,webapp,browser,SPA,PWA",Application à page unique (SPA) ou plusieurs (MPA) ?;Navigateurs compatibles ?;Référencement SEO requis ?;Temps réel ?;Accessibilité ?,browser_matrix;responsive_design;performance_targets;seo_strategy;accessibility_level,native_features;cli_commands,standards du web;lignes directrices WCAG,Nouvelle interaction;Utilisation de WebAssembly
game,"game,player,gameplay,level,character",REDIRIGER VERS L'AGENT DU MODULE JEUX BMad (BMad Game Module) - METTRE EN PAUSE (HALT),game-brief;GDD,most_sections,modèles de conception de jeux (game design),Mécaniques novatrices;Mélange de genres
desktop_app,"desktop,Windows,Mac,Linux,native",Multiplateforme ?;Mise à jour automatique ?;Intégration système ?;Hors ligne ?,platform_support;system_integration;update_strategy;offline_capabilities,web_seo;mobile_features,lignes directrices bureau;exigences de plateforme OS,IA de bureau (Desktop AI);Automatisation système
iot_embedded,"IoT,embedded,device,sensor,hardware",Spécifications matérielles ?;Connectivité ?;Contraintes d'énergie ?;Sécurité ?;Mises à jour à distance (OTA) ?,hardware_reqs;connectivity_protocol;power_profile;security_model;update_mechanism,visual_ui;browser_support,normes IoT;spécifications de protocoles industriels,Edge AI;Nouveaux capteurs
blockchain_web3,"blockchain,crypto,DeFi,NFT,smart contract",Choix de la blockchain (Chain) ?;Intégration de porte-monnaie (Wallet) ?;Optimisation des frais (Gas optimization) ?;Audit de sécurité ?,chain_specs;wallet_support;smart_contracts;security_audit;gas_optimization,traditional_auth;centralized_db,normes blockchain;modèles de sécurité,Tokenomique inédite;Organisation/Structure DAO
