domain,signals,complexity,key_concerns,required_knowledge,suggested_workflow,web_searches,special_sections
santé,"médical,diagnostic,clinique,FDA,patient,traitement,HIPAA,thérapie,pharma,médicament",haute,"Approbation FDA;Validation clinique;Conformité HIPAA;Sécurité des patients;Classification des dispositifs médicaux;Responsabilité civile","Voies réglementaires;Conception d'essais cliniques;Normes médicales;Confidentialité des données;Exigences d'intégration","recherche-domaine","directives FDA logiciel dispositif médical {date};exigences conformité HIPAA logiciel;normes logiciel médical {date};validation clinique logiciel","clinical_requirements;regulatory_pathway;validation_methodology;safety_measures"
fintech,"paiement,banque,trading,investissement,crypto,portefeuille,transaction,KYC,AML,fonds,fintech",haute,"Conformité régionale;Normes de sécurité;Exigences d'audit;Prévention de la fraude;Protection des données","Exigences KYC/AML;PCI DSS;Open banking;Lois régionales (US/EU/APAC);Réglementations crypto","recherche-domaine","réglementations fintech {date};conformité traitement paiement {date};normes API open banking;réglementations crypto-monnaie {date}","compliance_matrix;security_architecture;audit_requirements;fraud_prevention"
govtech,"gouvernement,fédéral,civique,secteur public,citoyen,municipal,vote",haute,"Règles d'approvisionnement;Habilitation de sécurité;Accessibilité (508);FedRAMP;Confidentialité;Transparence","Marchés publics;Cadres de sécurité;Normes d'accessibilité;Lois sur la confidentialité;Exigences open data","recherche-domaine","marchés publics logiciels gouvernement {date};exigences conformité FedRAMP;accessibilité section 508;normes sécurité gouvernementales","procurement_compliance;security_clearance;accessibility_standards;transparency_requirements"
edtech,"éducation,apprentissage,étudiant,enseignant,curriculum,évaluation,K-12,université,LMS",moyenne,"Confidentialité des étudiants (COPPA/FERPA);Accessibilité;Modération de contenu;Vérification de l'âge;Normes curriculaires","Lois sur la confidentialité éducative;Normes d'apprentissage;Exigences d'accessibilité;Directives de contenu;Validité des évaluations","recherche-domaine","confidentialité logiciels éducatifs {date};conformité COPPA FERPA;exigences WCAG éducation;normes systèmes de gestion de l'apprentissage","privacy_compliance;content_guidelines;accessibility_features;curriculum_alignment"
aérospatiale,"avion,vaisseau spatial,aviation,drone,satellite,propulsion,vol,radar,navigation",haute,"Certification de sécurité;Conformité DO-178C;Validation des performances;Précision de la simulation;Contrôle des exportations","Normes d'aviation;Analyse de sécurité;Validation de simulation;ITAR/contrôle des exportations;Exigences de performance","recherche-domaine + modèle-technique","certification logicielle DO-178C;normes simulation aérospatiale {date};ITAR contrôle exportations logiciel;exigences sécurité aviation","safety_certification;simulation_validation;performance_requirements;export_compliance"
automobile,"véhicule,voiture,autonome,ADAS,automobile,conduite,EV,recharge",haute,"Normes de sécurité;ISO 26262;Communication V2X;Exigences temps réel;Certification","Normes automobiles;Sécurité fonctionnelle;Protocoles V2X;Systèmes temps réel;Exigences de test","recherche-domaine","ISO 26262 logiciel automobile;normes sécurité automobile {date};protocoles communication V2X;normes recharge EV","safety_standards;functional_safety;communication_protocols;certification_requirements"
scientifique,"recherche,algorithme,simulation,modélisation,calcul,analyse,science des données,ML,IA",moyenne,"Reproductibilité;Méthodologie de validation;Examen par les pairs;Performance;Précision;Ressources de calcul","Méthode scientifique;Validité statistique;Exigences de calcul;Expertise métier;Normes de publication","modèle-technique","bonnes pratiques calcul scientifique {date};normes reproductibilité recherche;validation modélisation informatique;examen par les pairs logiciel","validation_methodology;accuracy_metrics;reproducibility_plan;computational_requirements"
legaltech,"juridique,loi,contrat,conformité,litige,brevet,avocat,tribunal",haute,"Éthique juridique;Réglementations du barreau;Rétention des données;Secret professionnel avocat-client;Intégration au système judiciaire","Règles de pratique juridique;Exigences éthiques;Systèmes de dépôt au tribunal;Normes documentaires;Confidentialité","recherche-domaine","éthique technologie juridique {date};exigences logiciel gestion cabinet d'avocats;normes système dépôt tribunal;secret professionnel technologie","ethics_compliance;data_retention;confidentiality_measures;court_integration"
insuretech,"assurance,sinistres,souscription,actuariat,police,risque,prime",haute,"Réglementations des assurances;Normes actuarielles;Confidentialité des données;Détection de la fraude;Conformité étatique","Réglementations des assurances par État;Méthodes actuarielles;Modélisation des risques;Traitement des sinistres;Rapports réglementaires","recherche-domaine","réglementations logiciel assurance {date};normes actuarielles logiciel;détection fraude assurance;conformité assurance État","regulatory_requirements;risk_modeling;fraud_detection;reporting_compliance"
énergie,"énergie,utilité,réseau,solaire,éolien,puissance,électricité,pétrole,gaz",haute,"Conformité réseau;Normes NERC;Réglementations environnementales;Exigences de sécurité;Opérations en temps réel","Réglementations énergétiques;Normes de réseau;Conformité environnementale;Protocoles de sécurité;Systèmes SCADA","recherche-domaine","conformité logiciel secteur énergie {date};normes NERC CIP;exigences réseau intelligent;normes logiciel énergies renouvelables","grid_compliance;safety_protocols;environmental_compliance;operational_requirements"
