category,technique_name,description
collaborative,Oui Et Développement,"Créer une dynamique par des ajouts positifs où chaque idée devient un tremplin - utiliser des accroches comme 'Oui et nous pourrions aussi...' ou 'En s'appuyant sur cette idée...' pour instaurer un flux collaboratif énergique qui s'appuie sur les contributions précédentes"
collaborative,Brainwriting (Tour de Rôle),"Génération d'idées silencieuse suivie d'un développement sur les concepts écrits des autres - donne aux voix plus discrètes une contribution égale tout en maintenant la documentation via une séquence d'écriture silencieuse avec passage d'idées et construction sur les concepts reçus"
collaborative,Stimulation Aléatoire,"Utiliser des mots ou des images aléatoires comme catalyseurs créatifs pour forcer des connexions inattendues - surmonte les blocages mentaux avec une inspiration fortuite en demandant comment des éléments aléatoires se rapportent entre eux et en forçant des relations"
collaborative,Jeu de Rôle (Role Playing),"Générer des solutions à partir des perspectives de multiples parties prenantes pour bâtir de l'empathie tout en assurant une prise en compte exhaustive - incarner différents rôles en demandant ce qu'ils veulent ou comment ils aborderaient les problèmes et ce qui compte le plus pour eux"
collaborative,Course de Relais d'Idéation,"Le développement d'idées en rafale sous la pression du temps crée un sentiment d'urgence et des percées - structure avec des ajouts de 30 secondes et une construction rapide d'idées avec des passages rapides pour maintenir l'élan créatif et éviter de trop réfléchir"
creative,Scénarios Et Si (What If),"Explorer des possibilités radicales en remettant en question toutes les contraintes et hypothèses - parfait pour surmonter les blocages de pensée en utilisant des accroches comme 'Et si nous avions des ressources illimitées ?' ou 'Et si le contraire était vrai ?' ou 'Et si ce problème n'existait pas ?'"
creative,Pensée Analogique,"Trouver des solutions créatives en établissant des parallèles avec d'autres domaines - transférer des modèles réussis en demandant 'À quoi cela ressemble-t-il ?' ou 'En quoi est-ce similaire à...' et 'Quels autres exemples viennent à l'esprit ?' pour se connecter aux solutions existantes"
creative,Inversion (Reversal),"Inverser délibérément les problèmes pour révéler des hypothèses cachées et de nouveaux angles - excellent lorsque les approches conventionnelles échouent en demandant 'Et si nous faisions le contraire ?' ou 'Comment pourrions-nous empirer les choses ?' et 'Quelle est l'approche inverse ?'"
creative,Pensée à partir des Premiers Principes,"Éliminer les hypothèses pour reconstruire à partir de vérités fondamentales - essentiel pour l'innovation de rupture en demandant 'Que savons-nous avec certitude ?' ou 'Quelles sont les vérités fondamentales ?' et 'Si nous partions de zéro ?'"
creative,Relations Forcées,"Relier des concepts sans rapport pour susciter des ponts innovants par collision créative - prendre deux choses sans lien pour trouver des connexions entre elles puis identifier des ponts et explorer comment elles pourraient fonctionner ensemble afin de générer des solutions inattendues"
creative,Déplacement Temporel (Time Shifting),"Explorer des solutions à travers différentes périodes temporelles pour révéler des contraintes et des opportunités en demandant 'Comment cela fonctionnerait-il dans le passé ?' ou 'Qu'en sera-t-il dans 100 ans ?' ou 'Quelles contraintes liées à une époque différente ?' et 'Quelles solutions temporelles s'appliquent ?'"
creative,Cartographie Métaphorique,"Utiliser des métaphores étendues comme outils de réflexion pour explorer les problèmes sous de nouveaux angles - transforme les défis abstraits en récits tangibles en posant 'Ce problème est comme une métaphore' puis en étendant cette métaphore et en cartographiant les éléments pour découvrir des informations clés"
creative,Pollinisation Croisée,"Transférer des solutions d'industries ou de domaines complètement différents pour susciter des innovations de rupture en demandant comment l'industrie X résoudrait cela ou quels modèles fonctionnent dans le domaine Y et comment adapter les solutions du domaine Z"
creative,Fusion de Concepts,"Fusionner deux ou plusieurs concepts existants pour créer des catégories entièrement nouvelles - va au-delà d'une simple combinaison vers une véritable innovation en demandant ce qui émerge lorsque les concepts fusionnent ou quelle nouvelle catégorie est créée et comment le mélange transcende les idées originales"
creative,Brainstorming Inversé,"Générer des problèmes au lieu de solutions pour identifier des opportunités cachées et des voies inattendues en demandant 'Qu'est-ce qui pourrait mal tourner ?' ou 'Comment pourrions-nous faire échouer cela ?' et 'Quels problèmes pourrions-nous créer ?' afin de révéler des pistes de solutions"
creative,Exploration Sensorielle,"Engager les cinq sens pour découvrir des espaces de solutions multidimensionnels au-delà de la pensée purement analytique en demandant quelles idées on ressent ou sent ou goûte ou entend et comment différents sens interagissent avec l'espace du problème"
deep,Technique des Cinq Pourquoi,"Creuser à travers les couches de causalité pour découvrir les causes profondes - essentiel pour résoudre les problèmes à la source plutôt que les symptômes en demandant 'Pourquoi est-ce arrivé ?' à plusieurs reprises jusqu'à atteindre les moteurs fondamentaux et les causes ultimes"
deep,Analyse Morphologique,"Explorer systématiquement toutes les combinaisons de paramètres possibles pour les systèmes complexes nécessitant une cartographie exhaustive des solutions - identifier les paramètres clés puis lister les options pour chacun avant d'essayer différentes combinaisons et d'identifier les modèles émergents"
deep,Technique de Provocation,"Utiliser des déclarations délibérément provocatrices pour extraire des idées utiles à partir de points de départ apparemment absurdes - catalyse la pensée de rupture en demandant 'Et si provocation ?' ou 'Comment cela pourrait-il être utile ?' ou 'Quels déclencheurs d'idées ?' puis en extrayant le principe"
deep,Inversion d'Hypothèses,"Remettre en question et inverser les hypothèses fondamentales pour reconstruire à partir de nouvelles bases - essentiel pour les changements de paradigme en demandant 'Quelles hypothèses faisons-nous ?' ou 'Et si le contraire était vrai ?' avant de remettre en cause chaque hypothèse et de reconstruire"
deep,Tempête de Questions (Question Storming),"Générer des questions avant de chercher des réponses pour définir correctement l'espace du problème - garantit la résolution du bon problème en ne posant que des questions sans réponses pour le moment avec un focus sur ce que nous ne savons pas et l'identification de ce que nous devrions demander"
deep,Cartographie des Contraintes,"Identifier et visualiser toutes les contraintes pour trouver des voies prometteuses contournant ou traversant les limites - demander quelles contraintes existent toutes (quelles sont réelles par rapport aux imaginées) et comment contourner ou éliminer les barrières vers l'espace de solution"
deep,Analyse d'Échec,"Étudier les échecs réussis pour extraire des informations précieuses et éviter les pièges courants - apprend de ce qui n'a pas fonctionné en demandant ce qui a mal tourné ou pourquoi cela a échoué et quelles leçons ont émergé puis comment appliquer cette sagesse aux défis actuels"
deep,Pensée Émergente,"Permettre aux solutions d'émerger organiquement sans forcer une progression linéaire - embrasse la complexité et le développement naturel en demandant quels modèles émergent ou ce qui veut se produire naturellement et ce qui essaie d'émerger du système"
introspective_delight,Conférence de l'Enfant Intérieur,"Canaliser la pure curiosité et l'émerveillement de l'enfance pour raviver une exploration ludique - demandez ce que vous à 7 ans demanderiez en utilisant le questionnement 'pourquoi pourquoi pourquoi' pour rendre cela amusant et interdisez la pensée ennuyeuse pour accéder à un questionnement innocent"
introspective_delight,Forage du Travail de l'Ombre (Shadow Work),"Explorer ce que vous évitez activement ou repoussez afin de découvrir des informations cachées - examiner les blocages inconscients et les modèles de résistance en demandant ce que vous évitez ou où se trouve la résistance ce qui vous effraie et exploiter les ombres pour une sagesse enfouie"
introspective_delight,Archéologie des Valeurs,"Excaver les valeurs personnelles profondes guidant les décisions pour clarifier les priorités authentiques - creuser vers les motivations fondamentales en demandant ce qui compte vraiment ou pourquoi vous vous en souciez et ce qui est non négociable quelles valeurs fondamentales guident vos choix"
introspective_delight,Entretien avec le Soi Futur,"Rechercher la sagesse d'un futur soi plus sage pour une perspective à long terme - obtenir un auto-mentorat temporel en demandant à votre moi de 80 ans ce qu'il dirait au plus jeune vous ou comment la sagesse future s'exprime et ce que révèle la perspective à long terme"
introspective_delight,Dialogue de la Sagesse Corporelle,"Laisser les sensations physiques et l'intuition guider l'idéation - exploiter l'intelligence somatique souvent ignorée par les approches mentales en demandant ce que dit votre corps ou où vous le ressentez en faisant confiance à la tension et en suivant les indices physiques"
introspective_delight,Octroi de Permission,"Accorder la permission explicite de penser des pensées impossibles et de briser les barrières créatives auto-imposées - donnez-vous la permission d'explorer ou d'essayer d'expérimenter et de vous libérer des limites qui contraignent l'expression créative authentique"
structured,Méthode SCAMPER,"Créativité systématique à travers sept prismes pour l'amélioration méthodique de produits et l'innovation - Substituer (que pourriez-vous substituer) Combiner (que pourriez-vous combiner) Adapter (comment pourriez-vous adapter) Modifier (que pourriez-vous modifier) Mettre à d'autres usages Éliminer Inverser"
structured,Six Chapeaux de la Réflexion,"Explorer les problèmes sous six perspectives distinctes sans conflit - Chapeau Blanc (faits) Chapeau Rouge (émotions) Chapeau Jaune (bénéfices) Chapeau Noir (risques) Chapeau Vert (créativité) Chapeau Bleu (processus) pour assurer une analyse exhaustive sous tous les angles"
structured,Carte Mentale (Mind Mapping),"Ramifier visuellement les idées à partir d'un concept central pour découvrir des connexions et élargir la réflexion - parfait pour organiser des pensées complexes et voir la situation dans son ensemble en plaçant l'idée principale au centre puis en ramifiant les concepts"
structured,Contraintes de Ressources,"Générer des solutions innovantes en imposant des limites extrêmes - force des priorités essentielles et l'efficacité créative sous pression en demandant et si vous n'aviez que 1 dollar ou aucune technologie (une heure pour résoudre ou seulement des ressources minimales)"
structured,Cartographie d'Arbre de Décision,"Cartographier toutes les voies de décision et issues possibles pour révéler des opportunités et risques cachés - visualise les architectures de choix complexes en identifiant les chemins possibles avec les points de décision et vers où les différents choix mènent"
structured,Matrice de Solutions,"Créer une grille systématique de variables de problèmes et d'approches de solutions pour trouver des combinaisons optimales et découvrir des lacunes - identifier les variables clés ainsi que les approches de solutions puis tester des combinaisons et identifier les couples optimaux"
structured,Transfert de Traits,"Emprunter des attributs à des solutions réussies dans des domaines non liés pour améliorer l'approche - adapte systématiquement les caractéristiques gagnantes en demandant quels traits font fonctionner le succès X ou comment transférer ces traits et à quoi ils ressembleraient ici"
theatrical,Talk-Show du Voyage dans le Temps,"Interviewer les moi passés/présents/futurs pour une sagesse temporelle - méthode ludique pour gagner en perspective à travers les différentes étapes de la vie en interviewant le moi passé et en demandant ce que l'avenir dirait (explorer différentes chronologies)"
theatrical,Anthropologue Extraterrestre,"Examiner des problèmes familiers à travers des yeux complètement étrangers - révèle des hypothèses cachées en adoptant la perspective perplexe d'un étranger (devenez l'observateur extraterrestre en demandant ce qui semble étrange pour obtenir une perspective extérieure)"
theatrical,Laboratoire de Fusion des Rêves,"Commencer avec des solutions fantastiques impossibles puis faire de la rétro-ingénierie vers des étapes pratiques - rend la pensée ambitieuse actionnable grâce à la conception inversée en rêvant de solutions impossibles pour travailler à rebours vers la réalité"
theatrical,Orchestre des Émotions,"Laisser différentes émotions diriger des sessions de brainstorming distinctes puis harmoniser - utilise l'intelligence émotionnelle pour une vue d'ensemble en explorant des perspectives colériques ou des approches joyeuses (considérations craintives) puis des solutions pleines d'espoir"
theatrical,Café des Univers Parallèles,"Explorer des solutions sous différentes règles de réalité alternative - brise la pensée conventionnelle en changeant les hypothèses fondamentales sur le fonctionnement des choses en explorant différentes physiques d'univers ou des normes sociales alternatives et événements historiques modifiés"
theatrical,Parcours de Persona,"Incarner différents archétypes ou personas pour accéder à une sagesse diverse par exploration de personnages - devenez l'archétype et demandez comment ce persona résoudrait cela puis explorez ce que le personnage perçoit que la pensée normale ignore"
wild,Ingénierie du Chaos,"Casser délibérément les choses pour découvrir des solutions robustes - construit l'anti-fragilité en testant les limites des idées contre des scénarios catastrophes en demandant et si tout tournait mal et en cassant exprès ou comment cela échoue avec grâce pour rebâtir ensuite"
wild,Idées de Guérilla (Plantation Urbaine),"Planter des solutions inattendues dans des endroits improbables - utilise la surprise et un placement non conventionnel pour une innovation furtive en demandant quel est le lieu le moins attendu (planter des idées secrètement et faire pousser des solutions de manière souterraine avec surprise)"
wild,Brainstorming avec le Code des Pirates,"Prendre ce qui fonctionne n'importe où et remixer sans permission - encourage le prototypage rapide qui contourne les règles et la pensée non-conformiste en demandant ce que les pirates voleraient (remixer sans demander et ne nécessiter aucune permission)"
wild,Planification d'Apocalypse Zombie,"Concevoir des solutions pour des scénarios de survie extrême - élimine toutes les fonctions sauf les essentielles pour trouver la valeur fondamentale en demandant ce qui se passe quand la société s'effondre (ce qui marche comme base et comment construire à partir de rien)"
wild,Récit d'Histoire Ivre (Drunk History),"Expliquer des idées complexes avec une simplicité décomplexée - élimine les barrières de la sur-réflexion pour trouver la vérité brute à travers une expression simplifiée en expliquant comme si vous étiez éméché sans filtre en partageant les pensées brutes"
wild,Anti-Solution,"Générer des façons d'aggraver le problème ou de le rendre plus intéressant - révèle des hypothèses cachées grâce à une créativité destructrice en demandant comment saboter cela ou ce qui le ferait échouer de manière spectaculaire et comment créer davantage de problèmes"
wild,Superposition Quantique,"Maintenir simultanément de multiples solutions contradictoires jusqu'à ce que la meilleure émerge de l'observation et des tests - explore comment toutes les solutions pourraient être vraies en même temps et comment les contradictions coexistent"
wild,Forces Élémentaires,"Imaginer des solutions sculptées par des éléments naturels pour puiser dans les énergies créatives primordiales - explorez comment la terre sculpterait cela ou ce que le feu forgerait ou comment l'eau coule à travers cela et ce que l'air révèle pour accéder à la sagesse"
biomimetic,Solutions de la Nature,"Étudier comment la nature résout des problèmes similaires et adapter les stratégies biologiques au défi - demandez comment la nature résoudrait cela ou quels écosystèmes fournissent des parallèles et quelles stratégies biologiques s'appliquent pour la sagesse évolutive"
biomimetic,Pensée Écosystémique,"Analyser le problème comme un écosystème pour identifier les relations symbiotiques (la succession naturelle et les principes écologiques) - explorez les relations symbiotiques pour l'application de la succession naturelle à la pensée systémique"
biomimetic,Pression Évolutive,"Appliquer les principes évolutifs pour améliorer progressivement les solutions par la pression sélective et l'adaptation - demandez comment l'évolution optimiserait cela ou quelles pressions sélectives s'appliquent et comment cela s'adapte au fil du temps"
quantum,Effet de l'Observateur,"Reconnaître comment l'observation et la mesure des solutions modifient leur comportement - utilise les principes quantiques pour l'innovation en demandant comment le fait d'observer change cela (quels effets de mesure importent et comment utiliser l'effet de l'observateur)"
quantum,Pensée par Intrication,"Explorer comment différents éléments de solution pourraient être connectés indépendamment de la distance - révèle des relations cachées en demandant quels éléments sont intriqués ou comment des parties distantes s'affectent mutuellement"
quantum,Effondrement de la Superposition,"Maintenir de multiples solutions potentielles simultanément jusqu'à ce que les contraintes n'imposent qu'un seul résultat optimal - exploite la théorie de la décision quantique en demandant et si toutes les options étaient possibles et quelles contraintes forcent l'effondrement"
cultural,Sagesse Indigène,"S'appuyer sur des systèmes de connaissances traditionnels et des approches indigènes ignorés par la pensée moderne - demandez comment des cultures spécifiques aborderaient cela ou quelles connaissances traditionnelles s'appliquent pour accéder à des méthodes ignorées"
cultural,Cuisine Fusion,"Mélanger les approches culturelles et les perspectives comme dans la cuisine fusion - crée l'innovation par la pollinisation croisée culturelle en demandant ce qui se passe lorsqu'on mélange la culture A avec la culture B (quels hybrides émergent et ce que la fusion crée)"
cultural,Innovation par le Rituel,"Appliquer les principes de conception rituelle pour créer des expériences et des solutions transformatrices - utilise des idées anthropologiques pour la conception centrée sur l'humain en demandant quel rituel transformerait cela ou comment le rendre cérémoniel"
cultural,Cadres Mythiques,"Utiliser les mythes et les récits archétypaux comme cadres pour comprendre et résoudre des problèmes - puise dans l'inconscient collectif en demandant quel mythe est en parallèle avec cela ou quels archétypes sont impliqués et comment la structure mythique informe la solution"
