domain,signals,complexity,key_concerns,required_knowledge,suggested_workflow,web_searches,special_sections
healthcare,"médical,diagnostic,clinique,FDA,patient,traitement,HIPAA,thérapie,pharma,médicament",high,"Approbation FDA;Validation clinique;Conformité HIPAA;Sécurité des patients;Classification des dispositifs médicaux;Responsabilité","Parcours réglementaires;Conception d'essais cliniques;Normes médicales;Confidentialité des données;Exigences d'intégration","domain-research","directives logicielles de dispositifs médicaux FDA {date};exigences logicielles conformité HIPAA;normes logicielles médicales {date};logiciels de validation clinique","clinical_requirements;regulatory_pathway;validation_methodology;safety_measures"
fintech,"paiement,banque,trading,investissement,crypto,portefeuille,transaction,KYC,AML,fonds,fintech",high,"Conformité régionale;Normes de sécurité;Exigences d'audit;Prévention de la fraude;Protection des données","Exigences KYC/AML;PCI DSS;Open banking;Lois régionales (US/EU/APAC);Réglementations crypto","domain-research","réglementations fintech {date};conformité traitement paiements {date};normes API open banking;réglementations cryptomonnaie {date}","compliance_matrix;security_architecture;audit_requirements;fraud_prevention"
govtech,"gouvernement,fédéral,civique,secteur public,citoyen,municipal,vote",high,"Règles des marchés publics;Habilitation de sécurité;Accessibilité (508);FedRAMP;Confidentialité;Transparence","Marchés publics gouvernementaux;Cadres de sécurité;Normes d'accessibilité;Lois sur la confidentialité;Exigences open data","domain-research","marchés publics logiciels gouvernementaux {date};exigences conformité FedRAMP;accessibilité section 508;normes sécurité gouvernementales","procurement_compliance;security_clearance;accessibility_standards;transparency_requirements"
edtech,"éducation,apprentissage,étudiant,enseignant,programme,évaluation,K-12,université,LMS",medium,"Confidentialité de l'étudiant (COPPA/FERPA);Accessibilité;Modération de contenu;Vérification d'âge;Normes de programme d'études","Lois sur la confidentialité éducative;Normes d'apprentissage;Exigences d'accessibilité;Directives de contenu;Validité de l'évaluation","domain-research","confidentialité logiciels éducatifs {date};conformité COPPA FERPA;exigences éducation WCAG;normes gestion de l'apprentissage","privacy_compliance;content_guidelines;accessibility_features;curriculum_alignment"
aerospace,"aéronef,engin spatial,aviation,drone,satellite,propulsion,vol,radar,navigation",high,"Certification de sécurité;Conformité DO-178C;Validation des performances;Précision des simulations;Contrôles des exportations","Normes de l'aviation;Analyse de sécurité;Validation des simulations;Contrôles des exportations/ITAR;Exigences de performance","domain-research + technical-model","certification logicielle DO-178C;normes simulation aérospatiale {date};logiciels contrôles d'exportations ITAR;exigences sécurité aviation","safety_certification;simulation_validation;performance_requirements;export_compliance"
automotive,"véhicule,voiture,autonome,ADAS,automobile,conduite,VÉ,recharge",high,"Normes de sécurité;ISO 26262;Communication V2X;Exigences temps réel;Certification","Normes automobiles;Sécurité fonctionnelle;Protocoles V2X;Systèmes temps réel;Exigences de tests","domain-research","logiciel ISO 26262 automobile;normes sécurité automobile {date};protocoles communication V2X;normes de recharge VÉ","safety_standards;functional_safety;communication_protocols;certification_requirements"
scientific,"recherche,algorithme,simulation,modélisation,informatique,analyse,science des données,ML,IA",medium,"Reproductibilité;Méthodologie de validation;Examen par les pairs (Peer review);Performances;Précision;Ressources informatiques","Méthode scientifique;Validité statistique;Exigences informatiques;Expertise du domaine;Normes de publication","technical-model","meilleures pratiques en informatique scientifique {date};normes de reproductibilité de recherche;validation de la modélisation informatique;logiciels d'examen par les pairs","validation_methodology;accuracy_metrics;reproducibility_plan;computational_requirements"
legaltech,"légal,loi,contrat,conformité,litige,brevet,avocat,tribunal",high,"Éthique légale;Réglementations du barreau;Conservation des données;Privilège avocat-client;Intégration avec les tribunaux","Règles de pratique juridique;Exigences éthiques;Systèmes de dépôt des tribunaux;Normes documentaires;Confidentialité","domain-research","éthique de la technologie juridique {date};exigences logiciels de gestion de cabinet d'avocats;normes des systèmes de dépôt des tribunaux;technologie liée au privilège avocat client","ethics_compliance;data_retention;confidentiality_measures;court_integration"
insuretech,"assurance,sinistres,souscription,actuariat,police,risque,prime",high,"Réglementations de l'assurance;Normes actuarielles;Confidentialité des données;Détection des fraudes;Conformité de l'État","Réglementations de l'assurance par état;Méthodes actuarielles;Modélisation des risques;Traitement des sinistres;Déclarations réglementaires","domain-research","réglementations logicielles de l'assurance {date};logiciels de normes actuarielles;détection des fraudes à l'assurance;conformité des assurances de l'état","regulatory_requirements;risk_modeling;fraud_detection;reporting_compliance"
energy,"énergie,services publics,réseau,solaire,éolien,puissance,électricité,pétrole,gaz",high,"Conformité du réseau (Grid compliance);Normes NERC;Réglementations environnementales;Exigences de sécurité;Opérations en temps réel","Réglementations énergétiques;Normes du réseau;Conformité environnementale;Protocoles de sécurité;Systèmes SCADA","domain-research","conformité logicielle secteur énergétique {date};normes NERC CIP;exigences réseau intelligent (smart grid);normes logicielles énergie renouvelable","grid_compliance;safety_protocols;environmental_compliance;operational_requirements"
process_control,"automatisation industrielle,contrôle de processus,PLC,SCADA,DCS,HMI,technologie opérationnelle,OT,système de contrôle,cyberphysique,MES,historien,instrumentation,I&C,P&ID",high,"Sécurité fonctionnelle;Cybersécurité OT;Exigences de contrôle en temps réel;Intégration des systèmes hérités (legacy);Sécurité des processus et analyse des risques;Conformité et permis environnementaux;Autorité d'ingénierie et exigences PE","Normes de sécurité fonctionnelle;Cadres de sécurité OT;Protocoles industriels;Architecture du contrôle des processus;Fiabilité et maintenabilité des usines","domain-research + technical-model","exigences de cybersécurité OT IEC 62443 {date};exigences logicielles de sécurité fonctionnelle {date};architecture du contrôle de processus industriel;intégration de la fabrication ISA-95","functional_safety;ot_security;process_requirements;engineering_authority"
building_automation,"automatisation de bâtiment,BAS,BMS,HVAC,bâtiment intelligent,contrôle d'éclairage,alarme incendie,protection incendie,extinction d'incendie,sécurité des personnes,ascenseur,contrôle d'accès,DDC,gestion de l'énergie,séquence des opérations,mise en service",high,"Codes de sécurité des personnes (Life safety);Normes d'énergie des bâtiments;Coordination et interopérabilité multi-métiers;Mise en service et performance opérationnelle continue;Qualité de l'environnement intérieur et confort des occupants;Autorité d'ingénierie et exigences PE","Protocoles d'automatisation de bâtiments;Commandes HVAC et mécaniques;Conception de systèmes d'alarme, de protection incendie et de sécurité des personnes;Processus de mise en service et séquence des opérations;Codes du bâtiment et normes énergétiques","domain-research","architecture des logiciels de bâtiments intelligents {date};meilleures pratiques d'intégration BACnet;cybersécurité pour automatisation de bâtiments {date};normes de bâtiments ASHRAE","life_safety;energy_compliance;commissioning_requirements;engineering_authority"
gaming,"jeu,joueur,gameplay,niveau,personnage,multijoueur,quête",redirect,"REDIRECTION VERS LES WORKFLOWS DE JEU","Conception de jeu","game-brief","NA","NA"
general,"",low,"Exigences standards;Sécurité de base;Expérience utilisateur;Performances","Pratiques logicielles générales","continue","meilleures pratiques de développement logiciel {date}","standard_requirements"
