module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Method,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
BMad Method,bmad-document-project,Document Project,DP,Analyser un projet existant pour produire une documentation utile.,,,anytime,,,false,project-knowledge,*
BMad Method,bmad-generate-project-context,Generate Project Context,GPC,Scanner un codebase existant pour générer un project-context.md léger et optimisé LLM. Essentiel pour les projets brownfield.,,,anytime,,,false,output_folder,project context
BMad Method,bmad-quick-dev,Quick Dev,QQ,Workflow unifié intent-in code-out : clarifier planifier implémenter revoir et présenter.,,,anytime,,,false,implementation_artifacts,spec and project implementation
BMad Method,bmad-correct-course,Correct Course,CC,Naviguer des changements significatifs. Peut recommander de tout reprendre mettre à jour le PRD refaire l'architecture la planification de sprint ou corriger les epics et stories.,,,anytime,,,false,planning_artifacts,change proposal
BMad Method,bmad-agent-tech-writer,Write Document,WD,"Décris en détail ce que tu veux, et l'agent suivra les meilleures pratiques de documentation. Conversation multi-tour avec sous-processus pour recherche/revue.",write,,anytime,,,false,project-knowledge,document
BMad Method,bmad-agent-tech-writer,Update Standards,US,Mettre à jour la documentation mémoire de l'agent documentation-standards.md avec tes préférences spécifiques si tu découvres des conventions de document manquantes.,update-standards,,anytime,,,false,_bmad/_memory/tech-writer-sidecar,standards
BMad Method,bmad-agent-tech-writer,Mermaid Generate,MG,Créer un diagramme Mermaid basé sur la description de l'utilisateur. Suggérera des types de diagrammes si non spécifié.,mermaid,,anytime,,,false,planning_artifacts,mermaid diagram
BMad Method,bmad-agent-tech-writer,Validate Document,VD,Réviser le document spécifié par rapport aux normes de documentation et meilleures pratiques. Retourne des suggestions d'amélioration spécifiques et actionnables organisées par priorité.,validate,[path],anytime,,,false,planning_artifacts,validation report
BMad Method,bmad-agent-tech-writer,Explain Concept,EC,Créer des explications techniques claires avec exemples et diagrammes pour des concepts complexes.,explain,[topic],anytime,,,false,project_knowledge,explanation
BMad Method,bmad-brainstorming,Brainstorm Project,BP,Facilitation experte guidée à travers une ou plusieurs techniques.,,,1-analysis,,,false,planning_artifacts,brainstorming session
BMad Method,bmad-market-research,Market Research,MR,Analyse de marché paysage concurrentiel besoins clients et tendances.,,,1-analysis,,,false,planning_artifacts|project-knowledge,research documents
BMad Method,bmad-domain-research,Domain Research,DR,Plongée profonde dans le domaine d'industrie expertise du sujet et terminologie.,,,1-analysis,,,false,planning_artifacts|project_knowledge,research documents
BMad Method,bmad-technical-research,Technical Research,TR,Faisabilité technique options d'architecture et approches d'implémentation.,,,1-analysis,,,false,planning_artifacts|project_knowledge,research documents
BMad Method,bmad-product-brief,Create Brief,CB,Une expérience guidée par expert pour cerner ton idée produit dans un brief. Une approche plus douce que le PRFAQ quand tu es déjà sûr de ton concept et que rien ne te fera changer d'avis.,,-A,1-analysis,,,false,planning_artifacts,product brief
BMad Method,bmad-prfaq,PRFAQ Challenge,WB,Expérience guidée Working Backwards pour forger et mettre à l'épreuve ton concept produit afin de t'assurer que tu as un excellent produit que les utilisateurs adoreront et dont ils auront besoin à travers le gantelet PRFAQ pour déterminer la faisabilité et l'alignement avec les besoins utilisateurs. Alternative au brief produit.,,-H,1-analysis,,,false,planning_artifacts,prfaq document
BMad Method,bmad-prd,Create Edit and Review PRD,PRD,"Workflow PRD facilité — créer un nouveau PRD via une découverte coachée, mettre à jour un existant contre un signal de changement, ou valider un PRD finalisé contre une checklist avec un rapport de constats HTML.",,,2-planning,bmad-product-brief,,true,planning_artifacts,prd
BMad Method,bmad-create-ux-design,Create UX,CU,"Guidance pour réaliser le plan de ton UX, fortement recommandée si une UI est une pièce majeure du projet proposé.",,,2-planning,bmad-prd,,false,planning_artifacts,ux design
BMad Method,bmad-create-architecture,Create Architecture,CA,Workflow guidé pour documenter les décisions techniques.,,,3-solutioning,,,true,planning_artifacts,architecture
BMad Method,bmad-create-epics-and-stories,Create Epics and Stories,CE,,,,3-solutioning,bmad-create-architecture,,true,planning_artifacts,epics and stories
BMad Method,bmad-check-implementation-readiness,Check Implementation Readiness,IR,S'assurer que PRD UX Architecture et Epics Stories sont alignés.,,,3-solutioning,bmad-create-epics-and-stories,,true,planning_artifacts,readiness report
BMad Method,bmad-sprint-planning,Sprint Planning,SP,Lance l'implémentation en produisant un plan que les agents d'implémentation suivront en séquence pour chaque story.,,,4-implementation,,,true,implementation_artifacts,sprint status
BMad Method,bmad-sprint-status,Sprint Status,SS,À tout moment : Résume le statut de sprint et achemine vers le prochain workflow.,,,4-implementation,bmad-sprint-planning,,false,,
BMad Method,bmad-create-story,Create Story,CS,Début du cycle de story : Préparer la première story trouvée dans le plan de sprint qui est la suivante ou une désignation epic/story spécifique.,create,,4-implementation,bmad-sprint-planning,bmad-create-story:validate,true,implementation_artifacts,story
BMad Method,bmad-create-story,Validate Story,VS,Valide la préparation et la complétude de la story avant que le travail de développement ne commence.,validate,,4-implementation,bmad-create-story:create,bmad-dev-story,false,implementation_artifacts,story validation report
BMad Method,bmad-dev-story,Dev Story,DS,Cycle de story : Exécuter les tâches d'implémentation de la story et les tests puis CR puis retour à DS si des corrections sont nécessaires.,,,4-implementation,bmad-create-story:validate,,true,,
BMad Method,bmad-code-review,Code Review,CR,Cycle de story : Si problèmes retour à DS si approuvé alors prochaine CS ou ER si l'epic est complet.,,,4-implementation,bmad-dev-story,,false,,
BMad Method,bmad-checkpoint-preview,Checkpoint,CK,Parcours guidé d'un changement depuis l'intention et le contexte jusqu'aux détails. À utiliser pour une revue humaine de commits branches ou PRs.,,,4-implementation,,,false,,
BMad Method,bmad-qa-generate-e2e-tests,QA Automation Test,QA,Générer des tests automatisés API et E2E pour le code implémenté. PAS pour la revue de code ou la validation de story — utiliser CR pour cela.,,,4-implementation,bmad-dev-story,,false,implementation_artifacts,test suite
BMad Method,bmad-retrospective,Retrospective,ER,Optionnel en fin d'epic : Revoir le travail accompli les leçons apprises et le prochain epic ou si problèmes majeurs envisager CC.,,,4-implementation,bmad-code-review,,false,implementation_artifacts,retrospective
BMad Method,bmad-investigate,Investigate,IN,Enquête de cas forensique calibrée sur l'entrée. Analyse graduée par évidence avec suivi d'hypothèses. Produit un dossier de cas structuré.,,4-implementation,,,false,implementation_artifacts,investigation report
